# Polydeg	TreeMesh-mean	std	StructuredMesh-mean	std	P4estMesh-mean	std
3.0	4.405071916390728e-8	2.3320078302684653e-10	5.0247263469232894e-8	2.8630449987548427e-10	5.6617106443156736e-8	2.615248848523221e-10
4.0	5.0561571467991175e-8	2.5310622337284822e-11	5.842959740618102e-8	2.468419532442423e-10	6.246826821192053e-8	2.8343529473087667e-10
5.0	5.724533990219524e-8	4.1804318691615495e-10	6.773000942788816e-8	1.262522230210726e-9	7.132004595137357e-8	1.9601353202472154e-9
6.0	6.468520999459386e-8	7.486944427193035e-11	7.58194979895932e-8	3.249288512121273e-10	7.823269754921837e-8	3.3181156631930123e-10
7.0	7.295557168787941e-8	1.3462628208302586e-9	8.516933313500276e-8	5.965209777564005e-10	8.759659647488963e-8	4.6368327345406753e-10
8.0	8.028914200256181e-8	1.0292822302204095e-10	9.517612308546589e-8	1.8460006948100428e-10	9.673676484615597e-8	1.7960734320992354e-10
9.0	8.843385485651214e-8	3.0175655917061095e-10	1.0589742066777043e-7	1.2636414476236148e-9	1.0717962217163356e-7	1.446835049619998e-10
10.0	1.0418751915603964e-7	6.880054118348361e-11	1.1482608750433293e-7	7.625454179146348e-10	1.1608085616094722e-7	8.708847232092446e-11
11.0	1.0680570071054086e-7	9.691227154791366e-10	1.2557345929720076e-7	6.050797955018298e-10	1.263313880649068e-7	4.074393097875167e-10
12.0	1.153878853338036e-7	6.58351493556794e-11	1.3534736132064997e-7	1.9251016595716489e-10	1.3590640184764294e-7	8.662493154020643e-11
13.0	1.2184397229918458e-7	5.86990927441111e-10	1.4583038959375145e-7	5.506401682822238e-10	1.4692732738376807e-7	1.5262172464454505e-10
14.0	1.269056385209713e-7	4.2000616805959905e-11	1.555644997853814e-7	3.014330909656511e-10	1.5682454215722346e-7	5.927855807766644e-10
15.0	1.2948766491618376e-7	5.695391127589882e-10	1.6613830852045392e-7	1.9097353460937473e-10	1.6744171746192916e-7	1.7284099477578558e-9
