# Polydeg	TreeMesh-mean	std	StructuredMesh-mean	std	P4estMesh-mean	std
3.0	1.461014543209118e-7	1.6641224628352806e-10	1.6931999204521936e-7	4.1103975008097115e-11	1.7593506000847218e-7	3.262777169539265e-10
4.0	1.7248927106098236e-7	1.8893972625489344e-10	1.9899915928532007e-7	3.35920384601727e-10	2.064101205504967e-7	4.1276881658982124e-10
5.0	2.0021160823100627e-7	8.574547725907192e-10	2.3214252175568232e-7	9.393924555802158e-10	2.4043159106231737e-7	6.883858823424286e-10
6.0	2.300749480856084e-7	6.254976127667132e-10	2.682997209896849e-7	4.2411231167617005e-10	2.766743554118076e-7	5.140449997932347e-10
7.0	2.6859219081280774e-7	4.958787232096138e-9	3.1525383222971533e-7	1.2879965160601082e-9	3.222500275432932e-7	5.33340044381681e-9
8.0	3.0233837121498163e-7	1.704212789946532e-9	3.4404151957178674e-7	4.620633531685566e-10	3.5054868247676103e-7	1.123278475201436e-9
9.0	3.376924428040494e-7	6.288937470641424e-10	3.817230265969923e-7	2.5442905546477986e-10	3.878877391013038e-7	2.374736800223868e-9
10.0	3.7082826565708226e-7	9.110472018829582e-10	4.170842741463798e-7	5.001117445538712e-10	4.203624470850686e-7	4.0712238101378826e-10
11.0	3.9535019069207235e-7	2.173817306871033e-9	4.537081064118981e-7	3.6146165627709236e-10	4.605885594851797e-7	4.296062465176804e-10
12.0	4.3828500574350527e-7	2.5280113302671435e-9	5.339899263995793e-7	5.956682749631327e-9	5.188797821351342e-7	5.609789983033693e-9
13.0	4.653371152326529e-7	1.594745411688822e-10	5.628235740408206e-7	4.6132917667380596e-10	5.664163462448825e-7	3.8464433477943116e-10
14.0	4.94566373479274e-7	6.3352200542165e-11	5.947212011735039e-7	7.05450397990718e-11	6.146535111995136e-7	1.1008543977115828e-8
15.0	5.298070998547619e-7	2.562466801165819e-11	6.357075344346744e-7	5.22603370455823e-9	6.231185681795706e-7	4.3175322605509956e-9
