# Polydeg	SBP-mean	std	GaussSBP-mean	std
3.0	1.4402176678049117e-7	1.2317874800346683e-10	5.127313401110651e-7	7.199335607152755e-8
4.0	1.6473856318984547e-7	1.0837432809855436e-10	4.7012509685430477e-7	6.530907779032821e-9
5.0	1.9453874382971548e-7	4.313661141413835e-11	4.5310069003709836e-7	1.55764112940606e-8
6.0	2.258393586408073e-7	8.209025596543763e-11	4.5755782932378246e-7	1.2396441187483702e-8
7.0	2.448934384916529e-7	8.061646254470056e-10	4.659858103097406e-7	8.459817556525715e-9
8.0	2.5990136546820923e-7	5.399162701062198e-11	5.032172658954024e-7	8.051763476672794e-9
9.0	2.814752475165563e-7	6.239999601539814e-11	5.198445789873069e-7	4.733153242425078e-9
10.0	3.037719745429916e-7	9.156373590056453e-11	5.442478168956271e-7	5.604429141717688e-9
11.0	3.276875271626656e-7	2.635429137000855e-10	5.672592818229551e-7	2.7030073054574777e-9
12.0	3.5197276502312005e-7	6.046755737259758e-11	5.996011466538005e-7	1.964532451896825e-9
13.0	3.776432754848629e-7	3.8767722484078324e-10	6.14989328125704e-7	1.7167720315723217e-9
14.0	4.0228326992886927e-7	5.097651051956917e-10	6.469452320333579e-7	6.158937221072385e-9
15.0	4.2802818918796566e-7	1.8829962207300286e-10	6.66225565592448e-7	2.705751501142355e-9
