Polydeg	time_volume	time_entropy_projection	time_surface	time_interface	other
3.0	2.0190960610777985e-7	3.4962869003690034e-8	3.754098199185117e-8	2.53542183175738e-8	2.966318803813002e-9
4.0	2.2940952751572328e-7	3.0260926886792454e-8	3.222980188679245e-8	1.9875763364779873e-8	2.3612177672956447e-9
5.0	2.1740075289351854e-7	2.6124830439814816e-8	2.4786253472222224e-8	1.6498034722222223e-8	2.2344479166666513e-9
6.0	2.2936548613396973e-7	2.4021227301404435e-8	2.2532253607088e-8	1.4050320934825544e-8	2.1668747942726034e-9
7.0	2.5203578066595204e-7	2.150841071968448e-8	1.6200940832508795e-8	1.287251457543151e-8	2.0448911695388236e-9
8.0	2.716063620866645e-7	2.313218946583637e-8	2.1406549549273943e-8	1.1408310445785974e-8	2.024223692917136e-9
9.0	2.8907132499614915e-7	2.1531191370147876e-8	1.7494829116605054e-8	1.0193706196087493e-8	2.007599064232866e-9
10.0	3.102982993858157e-7	2.107926926615579e-8	1.6744186984004128e-8	9.519599714070056e-9	2.1157677117714924e-9
11.0	3.2211367853995255e-7	1.861669146825397e-8	1.344014626110383e-8	8.371860883194384e-9	1.966852242457966e-9
12.0	3.4351834819118665e-7	2.0737475580107198e-8	1.4213099911220493e-8	7.839669514686762e-9	2.1209552738676078e-9
13.0	3.5182195608956477e-7	1.9133032351124045e-8	1.3062411197999709e-8	7.228565190114132e-9	1.931687569131598e-9
14.0	3.733146795527334e-7	1.9128545174562406e-8	1.2568235885178844e-8	6.7990080186136485e-9	2.0865757190195387e-9
15.0	3.8702533994593423e-7	1.7595510826015234e-8	1.1282051044358944e-8	6.242664859169409e-9	2.1608318586994606e-9
