# Polydeg	TreeMesh-mean	std	StructuredMesh-mean	std	P4estMesh-mean	std
3.0	6.407712989790288e-8	1.939951784770052e-11	6.700806817397904e-8	6.712028397267443e-11	7.410568475786425e-8	1.862759961204686e-10
4.0	6.284291832229581e-8	1.347080319223431e-10	6.630083830022076e-8	1.0393366349163302e-10	7.150230546357616e-8	1.49741915916507e-10
5.0	5.8126149934081436e-8	5.373680122707004e-11	6.187197713545499e-8	5.523404017395906e-11	6.527430593880304e-8	1.1716504431487538e-10
6.0	5.6957597732801733e-8	6.083269801533266e-11	6.014383038811553e-8	2.1123008713057424e-10	6.318489435509304e-8	2.0904377115631348e-10
7.0	5.3389871128242276e-8	5.914997860927522e-11	5.7502205241963296e-8	1.0531333114475856e-10	5.875554247723511e-8	1.2414883516142356e-10
8.0	8.352760736039572e-8	2.9998912834769425e-11	9.002954054588068e-8	9.662167863417112e-11	9.22274055167198e-8	3.79550768617254e-11
9.0	9.426801559050773e-8	6.586672170669926e-11	9.768218529249449e-8	7.701056183627037e-11	9.936901138245035e-8	9.003830008668474e-11
10.0	1.0215467048191125e-7	7.606935857339958e-11	9.821273511758159e-8	2.0128038302622674e-9	9.961981544068013e-8	9.032335318666347e-11
11.0	9.247721378119635e-8	9.159072743234844e-11	9.926229898669366e-8	8.301895692272546e-11	9.773736342017722e-8	5.134142199838618e-11
12.0	1.0240275383047925e-7	1.132422945594069e-10	9.908716136342857e-8	8.58568911030014e-11	9.998518665014302e-8	4.848296821219755e-11
13.0	1.0121585395126593e-7	7.233008437242773e-11	9.942785831841014e-8	8.446865905379723e-11	9.969755076699554e-8	9.248174873905261e-11
14.0	1.0191944444444444e-7	3.8901410993990594e-11	1.0002562864851608e-7	1.8697356989778967e-10	1.0076968843512387e-7	1.443855219744983e-10
15.0	9.328368194782182e-8	3.550326120276384e-11	9.797701973820366e-8	1.2048329580330257e-10	9.864430928682914e-8	1.8826144253023476e-10
