# Polydeg	TreeMesh-mean	std	StructuredMesh-mean	std	P4estMesh-mean	std
3.0	5.0934900320023626e-8	2.3545985956964567e-11	6.822101770531525e-8	9.12238248362494e-11	7.204472900121155e-8	8.539729330057053e-11
4.0	5.072941838438191e-8	1.0948701197880425e-10	6.747312506898456e-8	3.6950769088429924e-10	7.4036524848234e-8	1.5122083211496762e-10
5.0	4.886710281028995e-8	7.593202239674002e-10	7.152669373831096e-8	1.3992448075953563e-9	7.535319867932916e-8	3.3487247068977365e-10
6.0	5.479662622824675e-8	9.94391255665688e-10	7.751808905563172e-8	3.121234360595625e-10	8.548183816365952e-8	2.210891019210942e-10
7.0	6.691900748448657e-8	2.4770197010077786e-10	1.0560393969975823e-7	6.305812041614255e-10	1.139840737382834e-7	5.721625656996596e-10
8.0	7.056244935337159e-8	3.178597760878002e-10	1.0174644084329021e-7	8.478992363847622e-10	1.0803339003740119e-7	3.571453616532997e-10
9.0	7.701657493101547e-8	2.969679066260199e-10	1.1822222305291117e-7	3.7599234384951607e-10	1.1781309829953092e-7	1.6545469366926335e-10
10.0	9.150825618246149e-8	1.9460533093761565e-10	1.2252689030099032e-7	2.094218130884631e-10	1.2700976984324182e-7	1.239517692053595e-10
11.0	7.689544169382535e-8	2.215020628577962e-10	1.2985055831922904e-7	1.355665247385318e-10	1.1242702693507243e-7	1.6684323399526104e-10
12.0	1.0053900411904002e-7	3.5411523873137893e-9	1.3254953627516476e-7	6.455811421218337e-11	1.3724625112119516e-7	9.126670238338156e-12
13.0	9.57755786732562e-8	5.418413620362808e-11	1.4663784777551483e-7	2.775630582651738e-9	1.3647834764643278e-7	5.6206759046233195e-11
14.0	1.0735808728538141e-7	3.478282426371991e-11	1.4545747351734324e-7	9.005944783428339e-11	1.4890485299188536e-7	3.0066831888754844e-11
15.0	1.1984541886942273e-7	7.396521393945205e-11	2.3528558889161673e-7	3.0688728777750086e-9	2.3367899025797053e-7	2.2974688893735546e-11
