# Polydeg	TreeMesh-mean	std	StructuredMesh-mean	std	P4estMesh-mean	std
3.0	1.6982281030650697e-7	5.733081103662342e-11	2.808441263834635e-7	9.779532013734199e-11	2.8733808682675394e-7	6.532445744645934e-11
4.0	2.04345478276766e-7	2.733525099268871e-10	3.50837437424117e-7	2.9069800564472803e-10	3.565145841956402e-7	1.788796844879953e-10
5.0	2.405024976118891e-7	2.3402133761082824e-10	4.2640217455022715e-7	2.1896333516090675e-10	4.3303562958459804e-7	1.0701992294729343e-9
6.0	2.8458748973025234e-7	1.6870323003750925e-9	5.057824734826819e-7	5.683669599676081e-10	5.203256406135361e-7	1.1935707245659492e-9
7.0	3.295496598351081e-7	4.2659820887650965e-9	5.845613830010623e-7	8.08200579027652e-10	5.904193485672637e-7	8.439410472003256e-10
8.0	3.6605863902406645e-7	5.704775240903681e-10	6.618989649171466e-7	1.236037080724486e-9	6.652222369500445e-7	1.0447181991712365e-9
9.0	4.0589206468939706e-7	3.6231529297009705e-10	7.388433549599891e-7	3.540684454786998e-10	7.375217955453229e-7	3.8822218693018604e-10
10.0	4.4927061337187965e-7	6.931409114665804e-10	8.2544988704493e-7	6.397580468238991e-9	8.24365749693716e-7	2.6615591401924406e-9
11.0	4.827697338112668e-7	2.7915708511765614e-10	8.952519824040102e-7	2.2088220418697694e-10	8.97177545323706e-7	3.6412664051855646e-10
12.0	5.253678389730163e-7	2.419700500490206e-10	9.964933829014155e-7	5.911548413655435e-10	9.949860387733662e-7	2.88634368273643e-10
13.0	5.653365210513865e-7	4.4582695418911095e-11	1.102612036085832e-6	2.6885677206275743e-10	1.0975253295112023e-6	2.499275801155823e-10
14.0	6.059631148005069e-7	1.2904495540205458e-9	1.1846639637205156e-6	6.891502424467974e-11	1.1774837225461941e-6	1.6679895792459552e-10
15.0	6.476578221470579e-7	1.1403246989445886e-9	1.2490344128038183e-6	2.71243211687295e-10	1.2420748220639515e-6	8.335001589284162e-10
