# Polydeg	TreeMesh-mean	std	StructuredMesh-mean	std	P4estMesh-mean	std
3.0	1.0613220164991636e-7	8.486283665280034e-11	1.856770279705393e-7	1.4535002738287576e-10	1.921371932343405e-7	2.1444651465393054e-10
4.0	1.2695038230546358e-7	1.1629501609991755e-9	2.2880319942742825e-7	7.36983108390322e-11	2.3536285424944812e-7	6.528718806533346e-10
5.0	1.4866682711162978e-7	2.1154898252883027e-10	2.7718843289224745e-7	5.207741604370041e-10	3.0573699080780905e-7	1.2599700137129538e-9
6.0	1.736660625918118e-7	1.4643309814843265e-9	3.532859491423994e-7	6.180721795484036e-10	3.4056427912505476e-7	5.88457977492779e-9
7.0	2.1031322984337545e-7	4.395184937919101e-9	3.8040892003545707e-7	9.144186274637068e-10	3.9565194983745523e-7	6.665911295589578e-9
8.0	2.2743518217598269e-7	1.1621065202028719e-9	4.2776161092615877e-7	7.723603829722345e-10	4.3370235807801486e-7	1.1577252921443803e-9
9.0	2.5362603205798156e-7	1.3681620027866757e-9	4.778774683585127e-7	2.1992272993801255e-10	4.792992693544772e-7	4.541510552088007e-10
10.0	2.798122365565132e-7	8.26734007815367e-10	5.264965525425911e-7	9.595035670264442e-11	5.296719222014198e-7	4.2182373060778483e-10
11.0	2.9776756736313114e-7	1.6176503652373903e-10	5.789970437741087e-7	6.72841184409084e-9	5.867077369972511e-7	4.600290360051459e-9
12.0	3.2586039337221463e-7	5.7817219138706205e-11	6.458426080533666e-7	3.549904952929824e-10	6.44184737652033e-7	3.960556015888109e-10
13.0	3.4823593977675403e-7	2.244028352417662e-11	7.118083040796365e-7	1.9857119929018847e-10	7.187951585358046e-7	8.923402399108136e-9
14.0	3.7310272758411013e-7	9.479809661374086e-10	7.58349485519888e-7	5.554519242371475e-11	7.615334533493276e-7	1.1917395939225425e-10
15.0	4.007699468629513e-7	2.5992805340515842e-9	7.969815838331683e-7	5.125190690107562e-10	8.064178760850666e-7	4.4164006196272547e-10
