# Polydeg	Conservative-variables-mean	std	Primitive-variables-mean	std	Precomputed-log-variables-mean	std
3.0	1.38876007e-6	2.0868655123696095e-8	1.4244218899999999e-6	2.9844938429537535e-8	9.7185035e-7	1.188409686654116e-8
4.0	2.5152545444444447e-6	2.787252751306433e-8	2.5047203222222226e-6	5.184558916974929e-8	1.9029665800000001e-6	3.311822336381403e-8
5.0	5.4002649666666666e-6	1.1742555671063448e-7	5.581898333333334e-6	6.373590721291642e-8	3.057318955555556e-6	4.234549482606231e-8
6.0	8.2429387e-6	2.1223019587525114e-7	8.377403133333335e-6	1.2707103774197835e-7	4.935819371428571e-6	6.008001528115335e-8
7.0	1.41143068e-5	2.2994415736284872e-7	1.4752543600000002e-5	3.04538741843412e-7	6.7515812e-6	8.535604093403346e-8
8.0	1.86532468e-5	2.886003096041832e-7	1.92120519e-5	4.3971171219945294e-7	1.03360415e-5	3.6711501048151396e-7
9.0	2.8924759600000002e-5	3.409135559245207e-7	3.0424508300000003e-5	4.1329398655562637e-7	1.3180588000000001e-5	4.0834628457329275e-7
10.0	3.64835842e-5	3.5209698967667124e-7	3.8006585e-5	4.6968318939987677e-7	1.83551479e-5	1.2037519954343757e-6
11.0	5.0216980600000006e-5	4.034355351809563e-7	5.30886237e-5	5.662908327255817e-7	2.3472255200000002e-5	4.4729683088353295e-7
12.0	6.219624420000001e-5	5.270067606577149e-7	6.54898044e-5	6.070328363664381e-7	2.9972360300000003e-5	4.956537034495802e-7
13.0	8.174649570000001e-5	4.919091131896969e-7	8.680593850000001e-5	6.932855665636134e-7	3.702000190000001e-5	5.487692047303639e-7
14.0	9.72156218e-5	5.875998494920436e-7	0.00010146860860000001	3.1704489379980375e-6	4.66045652e-5	5.392315563986418e-7
15.0	0.0001239174719	5.827710823503791e-7	0.000129768674	7.557309775674447e-7	5.6073393e-5	6.204619058803408e-7
