# Polydeg	Conservative-variables-mean	std	Primitive-variables-mean	std	Precomputed-log-variables-mean	std
3.0	1.0295579600000002e-6	2.233100123147191e-8	9.592430173913044e-7	1.5142688455808783e-8	1.019437915625e-6	1.4440566827682187e-8
4.0	2.1776528e-6	2.7795574706879576e-8	2.055861888888889e-6	4.000852055437032e-8	1.9596586100000005e-6	3.4843556896700744e-8
5.0	3.5868912625e-6	3.5623256378145613e-8	3.4541569125000005e-6	4.8179990646322385e-8	3.4245734250000003e-6	5.619322233123823e-8
6.0	5.9003227e-6	6.459748114585631e-8	5.39377525e-6	6.278515857930966e-8	5.350757814285715e-6	6.698677866467502e-8
7.0	9.3968539e-6	2.1033930164610632e-7	8.7117012e-6	1.1846644500812766e-7	7.872125750000001e-6	1.200603693925159e-7
8.0	1.2988030000000002e-5	2.2478419938605418e-7	1.1869621800000001e-5	2.5400634024931085e-7	1.14474978e-5	2.78733708121505e-7
9.0	1.8066546600000003e-5	2.3540613890352e-7	1.66400691e-5	3.3983854453081815e-7	1.55996126e-5	3.362835000122338e-7
10.0	2.4138480200000005e-5	2.684221008977931e-7	2.2156958600000003e-5	4.407775179930084e-7	2.0835207400000002e-5	4.3091091910888115e-7
11.0	3.08703116e-5	2.9399747984847716e-7	2.8229326200000002e-5	3.8720439811313067e-7	2.73020266e-5	4.23360800888808e-7
12.0	4.02938135e-5	3.4191485854639244e-7	3.6766483e-5	4.168965655718917e-7	3.46360174e-5	4.6024249414040555e-7
13.0	5.03284654e-5	3.556359867875435e-7	4.58974473e-5	5.117246029160929e-7	4.3805673000000006e-5	5.607291108767036e-7
14.0	6.27846654e-5	4.026917157139323e-7	5.7410475100000005e-5	5.025150424781149e-7	5.36428751e-5	5.466172850776169e-7
15.0	7.60395198e-5	4.4735590522374235e-7	7.069121950000001e-5	5.845321456538385e-7	6.528539130000001e-5	5.655435865953605e-7
