# Polydeg	Conservative-variables-mean	std	Primitive-variables-mean	std	Precomputed-log-variables-mean	std
3.0	1.11440471e-5	2.3612524599197235e-7	1.18695284e-5	3.251791951283699e-7	4.890759542857143e-6	5.689273854850661e-8
4.0	2.8582321800000003e-5	3.6095384249568704e-7	3.11437756e-5	5.261473988847378e-7	1.1888665000000001e-5	3.433470458506808e-7
5.0	6.687230180000001e-5	4.5470265599322905e-7	7.127293450000001e-5	6.110406260425059e-7	2.45057396e-5	4.0900040944396684e-7
6.0	0.000130902103	6.041684219977191e-7	0.00013908756870000002	8.429416697175224e-7	4.59557521e-5	5.612731201448451e-7
7.0	0.0002288577659	1.1399587760521432e-6	0.0002465256663	9.056945845108888e-7	8.09085889e-5	6.644974199941698e-7
8.0	0.0003749568895	9.070636768943755e-7	0.00040980066830000007	1.2910899752563846e-6	0.0001324750447	2.8680069677911596e-6
9.0	0.0005784903745640549	9.83706459144406e-7	0.0006227144549549549	1.1059247604361187e-6	0.0002050276784	9.590025804442155e-6
10.0	0.0008538528819396848	1.1912398332414085e-6	0.0009152950606171933	1.5543719330297893e-6	0.0002984365408	1.605106379649758e-5
11.0	0.0012029221551266588	1.0316555907978725e-6	0.0012648838764899822	2.513431392439005e-6	0.00041920175280000003	2.495741375259492e-5
12.0	0.0016675834361631018	1.9996725830128985e-6	0.0017052362204374575	2.143386562230761e-6	0.0005717765005769675	2.7923806949258702e-5
13.0	0.002251737054578259	2.007467531510886e-6	0.0022540310578400362	4.123778235011378e-6	0.0007693705430124225	4.546644452006271e-6
14.0	0.002985432554425838	2.2308711309756322e-6	0.002961831998219585	2.640646982528878e-6	0.0010021380201816349	2.101794717194246e-5
15.0	0.0038859741937743194	2.514184144369544e-6	0.0038042612332317076	3.1587577387392467e-6	0.0012906617501947549	3.070829659105739e-6
