# Polydeg	Conservative-variables-mean	std	Primitive-variables-mean	std
3.0	1.0274329699999999e-6	1.965611579809009e-8	9.70841705263158e-7	1.6486112146616363e-8
4.0	2.1824570999999997e-6	2.920004928418457e-8	2.071096166666667e-6	4.102339646419121e-8
5.0	3.5675637875000006e-6	3.764132894415143e-8	3.2292818625000004e-6	5.509485410987612e-8
6.0	5.9178807e-6	5.252147868860813e-8	5.393298683333334e-6	6.833443678387365e-8
7.0	9.3970487e-6	2.2582616029543032e-7	8.720467800000002e-6	1.5004043558229336e-7
8.0	1.3047462000000001e-5	2.200937856538625e-7	1.1914034000000001e-5	2.611818853629098e-7
9.0	1.8064456e-5	2.537098601420791e-7	1.66442308e-5	3.626637801505732e-7
10.0	2.40932837e-5	2.866027085105138e-7	2.22134813e-5	4.19794702217061e-7
11.0	3.0886066700000004e-5	2.9690146631362384e-7	2.8199475900000003e-5	4.021889961424254e-7
12.0	4.03605148e-5	3.845671636675409e-7	3.690288040000001e-5	5.405009363748246e-7
13.0	5.0261961600000004e-5	3.7412180481485406e-7	4.636715540000001e-5	4.840057499735315e-7
14.0	6.22816452e-5	3.9855128004968565e-7	5.75109434e-5	5.605746827978761e-7
15.0	7.664194620000001e-5	4.5509435372528996e-7	7.058124920000001e-5	5.423281459422405e-7
