# Polydeg	Conservative-variables-mean	std	Primitive-variables-mean	std
3.0	3.1757970625e-6	3.259951639066881e-8	2.6835169111111115e-6	4.258410745479483e-8
4.0	7.937985975e-6	7.520528492424871e-8	6.44917926e-6	8.502636415908075e-8
5.0	1.64207762e-5	2.6091428389399076e-7	1.34083658e-5	3.625206398424663e-7
6.0	3.09720966e-5	3.0496208921114383e-7	2.52734855e-5	4.780834941435306e-7
7.0	5.2893566099999996e-5	4.3637204090844164e-7	4.27228203e-5	5.295804034783433e-7
8.0	8.65201239e-5	5.230506762731359e-7	6.87715612e-5	6.150989441753843e-7
9.0	0.00013365543	1.4111661375212944e-6	0.00010818375830000001	8.167438225834848e-7
10.0	0.0002011771546	7.852685233499537e-7	0.00016433968690000001	1.0088421263567365e-6
11.0	0.000288581165	8.946975987194308e-7	0.0002339958038	9.819560425357681e-7
12.0	0.0003936612669	1.0784501148080068e-6	0.0003183486091	3.6970444978521828e-6
13.0	0.0005450104058894627	1.3154145158171447e-6	0.0004300268273	2.6660807998982154e-5
14.0	0.0007063370864056939	1.363586074551046e-6	0.0005870617244982782	1.8504195223771127e-5
15.0	0.0009198131316179194	1.1522065042529565e-6	0.0007791378872795971	2.672204318436931e-5
